中文名,英文名,建议摄入量,不适宜人群,简介
氯化镁,magnesium chloride,4-6岁人群，每日用量最低值30mg（以Mg计），最高值200mg（以Mg计）；,均适宜,氯化镁是一种无机物，化学式MgCl2，分子量为95.211，呈无色片状晶体，微溶于丙酮，溶于水、乙醇、甲醇、吡啶。在湿空气中潮解并发烟，在氢气的气流中白热时则升华。氯化镁主要分布在国内的柴达木的盐湖中。 青海格尔木察尔汗盐湖国家矿山公园是我国最大的天然盐湖、最大的可溶性钾镁盐矿床，也是研究钾镁盐矿形成的世界级天然实验室。氯化镁储量16.5亿吨。 [8-9]  
氧化镁,Magnesium oxide,4-6岁人群，每日用量最低值30mg（以Mg计），最高值200mg（以Mg计）；,均适宜,氧化镁（Magnesium oxide），是一种无机化合物，化学式为MgO，是镁的氧化物，是一种离子化合物，常温下为白色固体。氧化镁以方镁石形式存在于自然界中，是冶镁的原料。
硫酸镁,magnesium sulphate,4-6岁人群，每日用量最低值30mg（以Mg计），最高值200mg（以Mg计）；,均适宜,硫酸镁，是一种含镁的化合物，分子式为MgSO4，是一种常用的化学试剂及干燥试剂，为无色或白色晶体或粉末，无臭、味苦，有潮解性。 临床用于导泻、利胆、抗惊厥、子痫、破伤风、高血压等症。。也可以用作制革、炸药、造纸、瓷器、肥料等。
碳酸镁,Magnesium carbonate,4-6岁人群，每日用量最低值30mg（以Mg计），最高值200mg（以Mg计）；,均适宜,碳酸镁是一种无机化合物，化学式为MgCO3，分子量84.31，相对密度3.037 。外观为白色颗粒性粉末。在350℃时分解，在700℃时失去二氧化碳 。微溶于冷水，缓慢溶于酸中。其三水合物为无色针状晶体，熔点165℃，相对密度1.850。其五水合物为白色单斜系晶体，相对密度1.73，在空气中加热分解。可由镁盐水溶液中一边通入二氧化碳，一边加入碳酸钠，得水合物，将水合物在50℃以下干燥可得无水物。 [2-3]  
甘油磷酸钙,Glycerophosphoric acid calcium salt,4-6岁人群，每日用量最低值150mg（以Ca计），最高值700mg（以Ca计）；,均适宜,白色或微黄色结晶性粉末，无臭，几乎无气味，稍有苦味。在空气中微有吸湿性。130℃时失去结晶水形成无水物，于170℃以上分解。每g溶于约50ml25℃水。温度较低时更易溶于水，水溶液呈碱性。不溶于乙醇，能溶于甘油。柠檬酸或乳酸能提高其在水中的溶解度，但加热时易分解。常用于食品用钙强化剂，用于面包、面粉、面条、豆乳等。用量在1%以下。
L-乳酸钙,calcium (S)-2-hydroxypropionate,1-3岁人群，每日用量最低值120mg（以Ca计），最高值500mg（以Ca计）；,均适宜,L-乳酸钙是化学物质，分子式是2(C3H5O3)CA。
硫酸钙,calcium sulfate,1-3岁人群，每日用量最低值120mg（以Ca计），最高值500mg（以Ca计）；,均适宜,硫酸钙（calcium sulfate）是一种无机化合物，化学式为CaSO4，白色结晶性粉末，无臭，具涩味，密度2.960克/立方厘米，微溶于水、甘油，不溶于乙醇。 [1-3]   
磷酸三钙|磷酸钙,翻译暂缺,1-3岁人群，每日用量最低值120mg（以Ca计），最高值500mg（以Ca计）；,均适宜,暂无介绍
磷酸二氢钙,monocalcium phosphate,4-6岁人群，每日用量最低值150mg（以Ca计），最高值700mg（以Ca计）；,均适宜,磷酸二氢钙，是一种无机化合物，化学式为Ca(H2PO4)2，为白色结晶性粉末，易溶于盐酸、硝酸，微溶于冷水，几乎不溶于乙醇，主要用作食品的膨松剂与钙强化剂、酒的调味剂、发酵促进剂等。
磷酸氢钙,Calcium hydrogen phosphate,1-3岁人群，每日用量最低值120mg（以Ca计），最高值500mg（以Ca计）；,均适宜,磷酸氢钙，是一种无机化合物，化学式为CaHPO4，为白色结晶性粉末，易溶于稀盐酸、稀硝酸、醋酸，微溶于水，不溶于乙醇，主要用作食品添加剂。
乳酸钙,Calcium Lactate,4-6岁人群，每日用量最低值150mg（以Ca计），最高值700mg（以Ca计）；,均适宜,乳酸钙（Calcium lactate）是一种有机化合物，分子式为C6H10CaO6。常用作补钙剂，具有促进骨骼及牙齿的钙化形成、维持神经与肌肉的正常兴奋性和降低毛细血管通透性等作用。因其溶解度较小，一般仅供口服给药。
葡萄糖酸钙,Calcium Gluconate,1-3岁人群，每日用量最低值120mg（以Ca计），最高值500mg（以Ca计）；,均适宜,葡萄糖酸钙是一种有机钙盐，化学式为C12H22O14Ca，外观为白色结晶性或颗粒性粉末，熔点201℃（分解），无臭，无味，易溶于沸水（20g/100mL），略溶于冷水（3g/100mL，20℃），不溶于乙醇或乙醚等有机溶剂。水溶液显中性（pH约6-7）。葡萄糖酸钙主要用作食品的钙强化剂与营养剂、缓冲剂、固化剂、鳌合剂。
柠檬酸钙,Calcium citrate,1-3岁人群，每日用量最低值120mg（以Ca计），最高值500mg（以Ca计）；,均适宜,柠檬酸钙是一种有机化合物，化学式为C12H10Ca3O14，
氯化钙,Calcium chloride,1-3岁人群，每日用量最低值120mg（以Ca计），最高值500mg（以Ca计）；,均适宜,氯化钙是一种由氯元素和钙元素组成的化学物质，化学式为CaCl2，微苦。它是典型的离子型卤化物，室温下为白色、硬质碎块或颗粒。它常见应用包括制冷设备所用的盐水、道路融冰剂和干燥剂。
醋酸钙,Calcium acetate,4-6岁人群，每日用量最低值150mg（以Ca计），最高值700mg（以Ca计）；,均适宜,乙酸钙是钙的乙酸盐，化学式为C4H6CaO4。乙酸钙的常用名是醋酸钙。无水乙酸钙的吸湿性非常好，因此常见的乙酸钙都以一水合物（Ca(CH3COO)2.H2O，CAS [5743-26-0]）的形式存在。
碳酸钙,Calcium carbonate,1-3岁人群，每日用量最低值120mg（以Ca计），最高值500mg（以Ca计）；,均适宜,碳酸钙是一种无机化合物，化学式为CaCO?，是石灰石、大理石等的主要成分。碳酸钙通常为白色晶体，无味，基本上不溶于水，易与酸反应放出二氧化碳 。它是地球上常见物质之一，存在于霰石、方解石、白垩、石灰岩、大理石、石灰华等岩石内，亦为某些动物骨骼或外壳的主要成分。碳酸钙也是重要的建筑材料，工业上用途甚广 。
牛乳蛋白粉,翻译暂缺,暂无数据,均适宜,暂无介绍
中长链脂肪酸结构油|中长链脂肪酸食用油,翻译暂缺,暂无数据,均适宜,暂无介绍
中长碳链甘油三酯,翻译暂缺,暂无数据,均适宜,暂无介绍
鱼油,翻译暂缺,暂无数据,均适宜,鱼油是一种从多脂鱼类中提取的油脂，富含二十碳五烯酸（EPA）和二十二碳六烯酸（DHA，俗称脑黄金）多种n-3系多不饱和脂肪酸（n-3PUFA）。
乳清发酵物（原液）,翻译暂缺,暂无数据,均适宜,暂无介绍
裂壶藻来源的DHA藻油,翻译暂缺,暂无数据,均适宜,暂无介绍
山参组培不定根,翻译暂缺,暂无数据,均适宜,暂无介绍
人参组织培养物（后更名为人参组培不定根）,翻译暂缺,暂无数据,均适宜,暂无介绍
连翘叶,翻译暂缺,暂无数据,均适宜,暂无介绍
苦水玫瑰,翻译暂缺,暂无数据,均适宜,苦水玫瑰，甘肃省永登县特产，中国国家地理标志产品。 [1-3]   
楂鱼油,,暂无数据,均适宜,楂鱼油是楂鱼经屠宰后，将不含脏器的组织经压榨、精炼等工艺而制成的油脂，包括：楂鱼油、楂鱼油硬脂（分提后的高熔点部分）、楂鱼油软脂（分提后的低熔点部分）。
益圣堂牌天瓜粉|天瓜粉,翻译暂缺,暂无数据,均适宜,暂无介绍
星油藤蛋白粉|美藤果蛋白,翻译暂缺,暂无数据,均适宜,暂无介绍
燕麦苗,翻译暂缺,暂无数据,均适宜,暂无介绍
乳清发酵物（粉末）,翻译暂缺,暂无数据,均适宜,暂无介绍
荞麦苗|苦荞麦苗,翻译暂缺,暂无数据,均适宜,暂无介绍
浓缩牛奶蛋白,翻译暂缺,暂无数据,均适宜,暂无介绍
牛奶磷脂,翻译暂缺,暂无数据,均适宜,暂无介绍
酶解骨粉,翻译暂缺,暂无数据,均适宜,暂无介绍
马铃薯提取物,翻译暂缺,暂无数据,均适宜,暂无介绍
焦糖浆,翻译暂缺,暂无数据,均适宜,焦糖浆以白糖、凉水为原料的菜品主料的食品
焦糖粉,翻译暂缺,暂无数据,均适宜,暂无介绍
非变性Ⅱ型胶原蛋白|含Ⅱ型胶原蛋白软骨粉,翻译暂缺,暂无数据,均适宜,暂无介绍
弹性蛋白（又更名为鲣鱼弹性蛋白肽）,翻译暂缺,暂无数据,均适宜,暂无介绍
忧遁草（后更名为鳄嘴花）,翻译暂缺,暂无数据,均适宜,暂无介绍
大豆低聚糖,翻译暂缺,暂无数据,均适宜,暂无介绍
白芸豆提取物,翻译暂缺,暂无数据,均适宜,暂无介绍
亚麻籽,翻译暂缺,暂无数据,均适宜,亚麻籽为亚麻科亚麻属一年生草本植物，籽粒形状呈扁卵形，前端像鸟嘴形状状，表面平滑、红润有光泽。一侧较薄，一端钝圆，表面棕色，平滑而有光泽；扩大镜下可见微小的凹点，种脐在尖端凹入部分，种皮较薄，除去后，可看到棕色薄膜状的胚乳，胚根朝向种子的尖端。以色红棕、饱满、纯净者为佳，花期为5～6月，果期6~9月。
酪蛋白酸钾（钙、镁、钠）,翻译暂缺,暂无数据,均适宜,暂无介绍
雪菊,翻译暂缺,暂无数据,均适宜,暂无介绍
乳木果油,翻译暂缺,暂无数据,均适宜,暂无介绍
国家一级和二级保护野生动植物及其产品,翻译暂缺,暂无数据,均适宜,暂无介绍
大豆异黄酮,翻译暂缺,暂无数据,均适宜,暂无介绍
薰衣草,翻译暂缺,暂无数据,均适宜,暂无介绍
野生苁蓉和雪莲,翻译暂缺,暂无数据,均适宜,暂无介绍
野生苁蓉,翻译暂缺,暂无数据,均适宜,暂无介绍
野生麻黄草,翻译暂缺,暂无数据,均适宜,暂无介绍
野生甘草,翻译暂缺,暂无数据,均适宜,暂无介绍
L-精氨酸,L(+)-Arginine,暂无数据,均适宜,L-精氨酸是一种有机化合物，分子式是C6H14N4O2，对成人为非必需氨基酸，但体内生成速度较慢，对婴幼儿为必需氨基酸，有一定解毒作用。其大量存在于鱼精蛋白等中，亦为各种蛋白质的基本组成，存在十分广泛。
